,,,,,,,,,,,
S.No,Crop,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
,I. FOOD CROPS,,,,,,,,,,
,A. CEREALS,,,,,,,,,,
1,Paddy - Season wise  *,,,,,,,,,,
,a. Kar / Kuruvai / Sornavari,"10,46,910","13,84,666","8,33,149","12,58,422","13,82,550","14,43,032","12,24,287","9,06 ,616","11,98,496","8,47,692"
,b.Samba / Thaladi / Pishanam,"42,73,700","55,92,375","28,56,617","51,55,829","57,04,087","47,44,526","18,65,991","44,97,284","39,40,959","49,54,415"
,c.Navarai/Kodai,"4,71,805","4,81,616","3,60,568","7,00,944","8,62,800","11,87,123","4,63,835","12,34,550","9,92,095","14,63,054"
,Paddy - Total,"57,92,415","74,58,657","40,50,334","71,15,195","79,49,437","73,74,681","35,54,113","66,38,450","61,31,550","72,65,161"
2,Maize,"10,27,536","16,95,467","9,46,363","22,45,216","26,47,751","25,32,330","9,53,377","25,91,632","28,34,437","26,14,747"
3,Cholam (Jowar),"2,46,981","2,52,522","1,74,966","5,13,313","8,68,940","4,39,619","1,53,856","4,30,661","4,64,481","5,19,821"
4,Ragi,"1,71,096","2,24,862","1,38,011","3,62,343","3,49,628","2,82,054","1,14,429","3,21,332","2,55,975","2,74,474"
5,Cumbu (Bajra),"77,369","1,14,447","56,505","1,17,436","1,77,570","1,34,331","1,02,250","1,43,548","1,18,007","1,85,083"
6,Samai,"17,250","25,060","19,071","25,445","25,264","24,965","16,099","18,679","23,785","21,866"
7,Varagu,"12,946","8,362","4,511","6,187","5,498","7,190","1,572","3,720","2,844","4,019"
8,Korra,391,330,375,480,518,349,419,525,304,"1,091"
9,Other Cereals,"2,946","2,775","2,726","3,059","3,643","4,527",3134,"8,302","8,075","10,368"
,Total Millets,"15,56,515","23,23,825","13,42,528","32,73,479","40,78,812","34,25,365","13,45,136","35,18,399","37,07,908","36,31,469"
,Total Cereals,"73,48,930","97,82,482","53,92,862","1,03,88,674","1,20,28,249","1,08,00,046","48,99,249","1,01,56,849","98,39,458","1,08,96,630"
,B . PULSES,,,,,,,,,,
10,Black gram,"1,23,011","1,78,816","88,706","3,10,658","3,58,895","2,76,371","1,84,610","3,01,603","2,74,307","3,17,423"
11,Green gram,"57,683","85,118","33,674","1,51,400","1,80,726","1,34,246","56,087","78,259","76,862","76,414"
12,Red gram,"23,671","31,292","33,105","57,666","90,950","59,968","37,053","53,788","51,632","53,236"
13,Horse gram,"21,729","37,181","25,455","56,869","68,304","44,614","12,361","48,534","53,530","61,376"
14,Bengal gram,"4,937","5,520","4,530","5,823","4,177","3,176","3,394","4,820","5,418","5,138"
15,Other Pulses,"14,159","31,336","27,103","31,383","63,912","66,594","44,202","69,446","89,287","91,857"
,Total Pulses,"2,45,190","3,69,263","2,12,573","6,13,799","7,66,964","5,84,969","3,37,707","5,56,450","5,51,036","6,05,444"
Total Food grains (A+B),,"75,94,120","1,01,51,745","56,05,435","1,10,02,473","1,27,95,213","1,13,85,015","52,36,956","1,07,13,299","1,03,90,494","1,15,02,074"
16,Sugarcane (in terms of cane),"3,42,51,796","3,89,74,842","3,40,14,097","3,24,54,135","2,80,92,784","2,55,08,824","1,89,87,555","1,71,53,978","1,70,96,340","1,41,19,220"
C.SPICES & CONDIMENTS,,,,,,,,,,,
17,Turmeric (Cured),"2,77,980","3,68,411","1,74,775","1,17,416","1,05,002","1,15,351","1,29,563","73,134","92,361","96,254"
18,Tamarind,"56,657","53,920","52,642","48,805","47,545","47,838","46,917","45,349","44,532","44,667"
19,Chillies (Dry),"21,690","24,640","17,950","11,294","29,391","23,762","20,585","18,108","14,000","29,618"
20,Arecanut,"13,731","15,951","11,905","8,619","8,837","11,829","12,719","14,926","10,941","13,543"
21,Coriander (Grains),"4,533","5,049",739,"2,614","8,048","6,569","1,468","4,112","2,526","3,675"
22,Ginger (Wet / Fresh)),"5,779","7,012","3,093","2,117","1,316","3,448","8,137","7,425","7,279","3,038"
23,Garlic,"1,736","2,544","2,701","2,889","2,567","3,334","4,545","4,338","8,632","8,519"
24,Pepper,684,858,900,860,898,974,"1,075","1,149","1,176","1,306"
25,Cloves,715,874,893,956,999,949,943,995,"1,015",978
26,Cardamom,399,393,366,366,361,307,353,351,347,348
27,Other Spices & Condiments,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,,N.W
Total Spices & Condiments,,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,,N.W
,,,,,,,,,,,
,,,,,,,,,,,
S.No,Crop,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
,D. FRIUTS,,,,,,,,,,
28,Banana,"48,00,472","45,05,435","39,09,764","38,40,375","37,25,937","36,10,173","30,28,869","30,44,122","34,84,599","39,87,895"
29,Mango,"9,57,979","6,26,392","11,89,270","8,30,291","8,94,869","8,69,881","5,50,019","5,79,929","5,24,339","4,94,728"
30,Guava,"68,298","40,473","66,230","35,870","46,099","60,621","46,271","45,698","44,667","41,504"
31,Jackfruit,"46,231","14,139","34,797","42,312","33,853","40,785","39,742","43,562","54,681","50,056"
32,Pine apple,"33,950","18,265","22,875","14,617","30,082","34,744","27,228","31,486","30,286","32,463"
33,Lemon,"33,590","17,663","16,366","17,647","11,646","27,568","16,100","13,167","16,301","15,658"
34,Cashewnut,"39,996","25,532","19,730","26,273","36,561","27,094","10,178","19,279","19,701","25,687"
35,Grapes,"40,227","38,057","38,331","30,216","31,333","24,457","46,774","55,603","45,967","33,106"
36,Orange,"3,577","3,283","6,167","4,592","3,747","1,540",1960,"2,028","2,334","4,723"
37,Other Fruits,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,,N.W
,Total Fruits,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,,N.W
,E . VEGETABLES,,,,,,,,,,
38,Tapioca,"38,81,425","39,67,751","27,69,471","24,99,280","28,51,761","23,66,723","20,12,746","27,15,116","26,29,655","30,65,106"
39,Tomato,"2,98,316","2,65,153","3,00,068","3,03,914","3,45,144","3,43,475","3,23,885","3,19,090","3,96,654","5,75,141"
40,Onion,"2,99,305","3,76,947","1,99,234","2,40,371","2,40,331","2,82,714","2,30,222","2,14,642","2,18,595","2,61,835"
41,Cabbage,"1,15,183","1,14,406","89,393","51,253","87,550","1,44,897","1,22,691","1,31,332","91,478","1,85,961"
42,Brinjal,"78,685","1,00,654","84,662","97,000","96,608","1,03,701","1,24,513","1,23,255","1,37,542","2,75,956"
43,Potato,"88,932","92,207","76,176","1,22,737","1,11,931","89,963","1,08,969","68,517","49,384","84,720"
44,Lady’s finger,"52,302","66,656","59,191","52,557","65,484","79,494","71,583","79,189","80,590","1,75,243"
45,Sweet potato,"9,201","7,991","6,058","12,496","11,094","9,536",2635,"7,946","8,854","14,383"
46,Other Vegetables,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,,N.W
,Total Vegetables,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,,N.W
,Other Food Crops,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,,N.W
,Total Food Crops,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,,N.W
,II . NON - FOOD CROPS,,,,,,,,,,
47,Groundnut,"8,95,638","10,60,654","7,85,362","9,15,884","9,25,182","8,92,280","5,88,854","10,07,452","9,11,240","10,32,903"
48,Gingelly,"25,387","26,447","17,179","33,708","44,748","29,369","10,837","23,054","24,422","36,481"
49,Coconut  #,"59,656","62,009","50,747","46,680","49,865","59,625","47,064","41,765","52,140","50,663"
50,Rapeseed and Mustard,70,84,139,140,72,83,46,67,71,33
51,Sunflower,"10,036","24,622","11,374","9,693","12,541","8,782","2,919","5,993","3,475","3,831"
52,Castor,"1,862","1,862","1,750","1,990","1,695","1,763","1,470",1417,"1,526","1,646"
53,Cotton **,"2,47,930","3,81,769","2,55,470","4,16,560","5,98,939","3,26,659","2,01,516","4,38,585","3,20,303","4,18,081"
54,Tobacco,"8,209","8,208","6,251","5,691","8,334","5,161",2744,5710,"3,238","2,426"
55,Other Non-Food Crops,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
,Total Non food crops,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
Total Food and Non-food crops,,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
* Rice,** Cotton : bales of 170 kg lint each (Yield rate in terms of lint) ;,,,,,,,,,,
N.W - Not Worked out,,,,,,,,,,,
# Coconut: Lakh Nuts ( Yield rate in nuts/ha.),,,,,,,,,,,
