III. 4: LAND USE PATTERN IN 2019-20 - DISTRICT WISE,,,,,,,,,,,,,,
(HECTARES),,,,,,,,,,,,,,
,,,,Barren and unculturable lands,Area under non Agricultural,Other cultivated land excluding,,,Fallow lands,,,,,Area sown more than once
,,Geographical Area,,,Use,fallow lands,,,,,,,Total cropped area,
S.,District,,Forest,,,,,,,,,Net area sown,,
No.,,,,,,Permanent pastures and other grazing lands,Land under misc.tree crops and groves not included in the Net area sown,,Fallow lands other than current fallow,,,,,
,,,,,,,,Culturable waste lands,,Current Fallow,Total,,,
1,Chennai,"43,576",300,7,"35,739",451,212,"1,175","4,740",675,"5,415",284,376,92
2,Kancheepuram,"1,70,479","3,685","2,115","67,699","4,701","2,872","5,481","26,004","23,270","49,274","36,767","48,146","11,379"
3,Chengalpattu,"2,63,892","20,175","8,826","89,052","13,396","8,759","5,330","38,138","25,453","63,591","63,589","74,600","11,011"
4,Thiruvallur,"3,24,604","19,736","13,569","1,10,682","7,844","6,582","6,305","52,543","31,529","84,072","89,383","1,44,766","55,383"
5,Cuddallore,"3,67,781","1,415","14,623","73,566",604,"13,273","6,027","34,516","30,329","64,845","2,08,051","3,09,832","1,01,781"
6,Villupuram,"3,91,468","14,846","20,604","1,07,476","1,846","5,056","4,883","5,860","57,329","63,189","1,94,172","2,58,911","64,739"
7,KallakurichI,"3,30,735","56,851","36,047","85,289","2,324","1,160","4,655","9,718","27,321","37,039","1,43,417","2,09,843","66,426"
8,Vellore,"2,23,264","89,953","10,190","35,643",644,668,"1,313","13,569","35,371","48,940","46,103","57,754","11,651"
9,Ranipet,"1,85,553","9,970","4,729","44,014","1,715","1,848","2,955","69,803","9,167","78,970","46,081","60,678","14,597"
10,Thirupathur,"1,83,201","62,363","5,525","21,531","1,563",433,"1,380","5,037","32,960","37,997","57,934","73,855","15,921"
11,Thiruvannamalai,"6,31,205","1,52,810","20,585","1,17,086","2,931","2,138","8,369","23,546","93,920","1,17,466","2,30,405","3,51,011","1,20,606"
12,Salem,"5,20,530","1,25,682","38,198","1,03,384","4,200","2,842","6,141","22,018","57,776","79,794","1,98,487","2,94,964","96,477"
13,Namakkal,"3,36,719","43,909","24,539","63,557","6,663","3,200","4,777","22,850","37,017","59,867","1,54,746","2,12,768","58,022"
14,Dharmapuri,"4,49,777","1,64,177","15,804","67,683","6,210","2,838","2,687","12,559","32,301","44,860","1,61,322","2,41,944","80,622"
15,Krishnagiri,"5,14,326","2,03,964","23,938","65,996","7,855","8,345","4,329","18,062","37,296","55,358","1,68,479","2,18,085","49,606"
16,Coimbatore,"4,72,322","1,11,871","4,798","81,557",77,"3,475","8,152","61,773","40,643","1,02,416","1,64,774","1,72,234","7,460"
17,Thirupur,"5,19,559","48,168","2,548","71,682",120,"1,894","3,895","1,42,212","70,677","2,12,889","1,80,911","1,82,556","1,645"
18,Erode,"5,72,264","2,27,511","6,270","59,722",101,960,"3,069","1,13,014","11,329","1,24,343","1,56,558","1,74,815","18,257"
19,Tiruchirapalli,"4,40,383","36,773","12,598","97,958",667,"2,616","10,825","1,08,623","27,684","1,36,307","1,55,237","1,69,177","13,940"
20,Karur,"2,89,557","6,187","2,786","40,477","10,801","1,858","65,131","65,918","28,376","94,294","70,809","73,665","2,856"
21,Perambalur,"1,75,739","16,281","2,786","31,329",153,"1,153","4,006","9,100","13,001","22,101","1,00,716","1,06,015","5,299"
22,Ariyalur,"1,93,398",739,"8,523","40,967","1,276","19,173","3,620","20,479","13,838","34,317","93,306","1,07,122","13,816"
23,Pudukkottai,"4,66,329","23,535","9,863","1,47,065","3,471","16,670","9,375","1,19,009","16,768","1,35,777","1,30,436","1,36,138","5,702"
24,Thanjavur,"3,39,657","3,390","2,149","83,898","1,199","5,731","12,085","29,082","12,892","41,974","1,91,380","2,89,324","97,944"
25,Thiruvarur,"2,09,709","2,452",113,"37,434",786,"2,054","1,179","6,540","3,764","10,304","1,55,500","2,71,228","1,15,728"
26,Nagapatinam,"2,71,583","4,633","33,418","81,175",831,"6,207","1,999","20,002","10,531","30,533","1,46,205","2,62,469","1,16,264"
27,Madurai,"3,74,173","48,473","13,031","88,630",233,"2,745","14,268","86,175","12,876","99,051","1,20,773","1,24,213","3,440"
28,Theni,"3,24,230","1,34,813","12,226","36,848",315,"1,403","2,616","27,789","12,912","40,701","1,07,534","1,14,360","6,826"
29,Dindigul,"6,26,664","1,38,923","36,210","1,03,516","6,946","7,712","5,513","1,35,517","13,075","1,48,592","2,15,462","2,19,402","3,940"
30,Ramanathapuram,"4,08,957","4,488","4,457","91,106",154,"30,957","3,360","45,124","51,507","96,631","1,82,261","1,82,261",0
31,Virudhunagar,"4,24,323","26,466","4,525","75,036",804,"2,225","9,400","1,72,732","6,597","1,79,329","1,31,063","1,36,650","5,587"
32,Sivagangai,"4,18,900","16,533","4,699","1,27,327","1,367","7,461","17,775","1,41,579","5,653","1,47,232","1,01,205","1,01,641",436
33,Thirunelveli,"3,87,606","83,758","23,787","86,229","4,124","6,810","25,232","1,08,219","6,800","1,15,019","66,434","71,344","4,910"
34,Tenkasi,"2,88,244","44,000","6,240","46,981","1,032","1,882","9,205","54,892","17,488","72,380","1,12,764","1,24,467","11,703"
35,Thoothukudi,"4,70,724","11,012","19,685","96,268","5,087","33,060","39,556","66,682","7,968","74,650","2,11,091","2,14,855","3,764"
36,The Nilgiris,"2,54,485","1,42,577","3,402","13,389","5,078","4,677","5,638","8,534","2,608","11,142","71,984","72,238",254
37,Kanniyakumari,"1,67,200","54,155","4,001","33,514",104,528,262,"4,285","1,678","5,963","72,674","78,427","5,753"
STATE,,"1,30,33,116","21,56,574","4,57,414","26,60,505","1,07,673","2,21,477","3,21,968","19,06,243","9,20,379","28,26,622","47,38,297","59,42,134","12,03,837"
,,,,,,,,,,,,,,
